货品名称,品牌,生产企业,用途分类,ser,产品分类,产品系列,口味分类,净含量,箱规,单位
傲滋草莓宝清宁试用装,99,99,99,99,99,宝清宁,草莓,6,1,袋
傲滋有机小米钙铁锌试用装10g,1,1,0,0,米粉,小米粉,钙铁锌,10,200,袋
彤臻米粉试用装-钙铁锌10g*1袋,2,1,0,0,米粉,经典,钙铁锌,10,200,袋
彤臻DHA藻油凝胶糖果0.75克*45粒,2,4,1,0,糖果,DHA,DHA,33.75,24,盒
彤臻有机营养汤米粉钙铁锌380g,2,1,1,0,米粉,汤米粉,钙铁锌,380,12,罐
彤臻有机营养汤米粉原味380g,2,1,1,0,米粉,汤米粉,原味,380,12,罐
彤臻乳钙凝胶糖果试用装,2,4,0,0,糖果,钙,乳钙,2.8,1200,袋
彤臻有机营养汤米粉钙铁锌180g,2,1,1,0,米粉,汤米粉,钙铁锌,180,24,盒
彤臻有机营养汤米粉原味180g,2,1,1,0,米粉,汤米粉,原味,180,24,盒
彤臻有机营养汤米粉缤纷水果380g,2,1,1,0,米粉,汤米粉,缤纷水果,380,12,罐
彤臻有机营养汤米粉核桃莲子380g,2,1,1,0,米粉,汤米粉,核桃莲子,380,12,罐
傲滋儿童营养复合钙固体饮料试用装,1,3,0,0,粉剂,饮料,钙,6,200,袋
彤臻草莓宝清宁固体饮料罐装,2,3,1,0,粉剂,饮料,宝清宁,180,24,罐
彤臻有机营养米粉核桃225g,2,1,1,0,米粉,经典,核桃粉,225,24,盒
彤臻有机营养蝴蝶面胡萝卜240g,2,2,1,0,面条,蝴蝶面,胡萝卜,240,24,盒
彤臻有机溶豆原味试用装,2,5,0,0,零食,溶豆,原,0.35,250,袋
彤臻有机营养面片原味240g,2,2,1,0,面条,面片,原味,240,24,盒
傲滋宝清宁固体饮料试用装,99,99,99,99,99,宝清宁,原味,6,1,袋
傲滋低聚果糖复合蛋白质粉试用装12克/袋,99,99,99,99,99,蛋白质,低聚果糖,12,200,条
彤臻水苏糖固体饮料2克*50袋,2,1,1,0,粉剂,益生元,水苏糖,100,12,罐
傲滋牛初乳复合蛋白质粉试用装12克/袋,99,99,99,99,99,蛋白质,牛初乳,12,200,条
傲滋苹果宝清宁试用装,99,99,99,99,99,宝清宁,苹果,6,1,袋
傲滋蘑菇粉凝胶糖果,99,99,99,99,99,糖果,糖果,32.7,24,盒
傲滋海藻粉凝胶糖果,99,99,99,99,99,糖果,糖果,35.7,24,盒
彤臻有机营养汤米粉核桃莲子180g,2,1,1,0,米粉,汤米粉,核桃莲子,180,24,盒
彤臻有机营养面片胡萝卜240g,2,2,1,0,面条,面片,胡萝卜,240,24,盒
彤臻有机营养蝴蝶面原味240g,2,2,1,0,面条,蝴蝶面,原味,240,24,盒
彤臻苹果宝清宁固体饮料罐装,2,3,1,0,粉剂,饮料,宝清宁,180,24,罐
彤臻有机营养汤米粉缤纷水果180g,2,1,1,0,米粉,汤米粉,缤纷水果,180,24,盒
傲滋雪梨宝清宁试用装,99,99,99,99,99,宝清宁,雪梨,6,1,袋
傲滋益生源益生菌固体饮料（短双歧杆菌M-16V）,1,9,1,9.1,粉剂,益生菌,短双歧杆菌M-16V,45,24,盒
