货品编码,货品名称,品牌,外形类别,性质类别,口味分类,差异
2001280,2-24大物流码,0,直面&蝴蝶面&面片,物流码,直面&蝴蝶面&面片,-14
2001281,2-24小物流码,0,直面&蝴蝶面&面片,物流码,直面&蝴蝶面&面片,-17
2001370,有机小麦粉,0,直面&蝴蝶面&面片,小麦粉,直面&蝴蝶面&面片,-7627
2001373,225g有面条/210g面片内托,傲滋,直面&面片,内托,直面&面片,0
2001374,225g有机面内袋,0,99,99,99,-8680
2001375,225g/210g有机面外箱,傲滋,直面&面片,外箱,直面&面片,0
2001376,225g原味有机面彩盒,傲滋,直面,彩盒,原味,0
2001377,225g胡萝卜有机面彩盒,傲滋,直面,彩盒,胡萝卜,0
2001378,225g猪肝菠菜有机面彩盒,傲滋,直面,彩盒,猪肝菠菜,0
2001379,225g牛肉番茄有机面彩盒,傲滋,直面,彩盒,牛肉番茄,0
2001380,225g鸡肉蘑菇有机面彩盒,傲滋,直面,彩盒,鸡肉蘑菇,0
2001383,225g有机直面卷膜,傲滋,直面,卷膜,直面,47
2001642,210g有机蝴蝶面内托,傲滋,蝴蝶面,内托,蝴蝶面,-46820
2001643,210g有机蝴蝶面外箱,傲滋,蝴蝶面,外箱,蝴蝶面,-5
2001644,210g蝴蝶面卷膜,傲滋,蝴蝶面,卷膜,蝴蝶面,17
2001645,210g面片卷膜,傲滋,面片,卷膜,面片,-61
2001646,210g原味蝴蝶面彩盒,傲滋,蝴蝶面,彩盒,原味,0
2001647,210g胡萝卜蝴蝶面彩盒,傲滋,蝴蝶面,彩盒,胡萝卜,0
2001648,210g原味面片彩盒,傲滋,面片,彩盒,原味,0
2001649,210g胡萝卜面片彩盒,傲滋,面片,彩盒,胡萝卜,0
2201069,彤臻250g有机原味面条彩盒,彤臻,直面,彩盒,原味,-18
2201070,彤臻250g有机胡萝卜面条彩盒,彤臻,直面,彩盒,胡萝卜,-18
2201071,彤臻250g有机猪肝菠菜面彩盒,彤臻,直面,彩盒,猪肝菠菜,-18
2201072,彤臻250g有机牛肉番茄面彩盒,彤臻,直面,彩盒,牛肉番茄,-18
2201073,彤臻250g有机鸡肉蘑菇面彩盒,彤臻,直面,彩盒,鸡肉蘑菇,-18
2201074,彤臻240g有机原味蝴蝶面彩盒,彤臻,蝴蝶面,彩盒,原味,-16
2201075,彤臻240g有机胡萝卜蝴蝶面彩盒,彤臻,蝴蝶面,彩盒,胡萝卜,-17
2201076,彤臻240g有机原味面片彩盒,彤臻,面片,彩盒,原味,-18
2201077,彤臻240g有机胡萝卜面片彩盒,彤臻,面片,彩盒,胡萝卜,-11
2201078,彤臻直面卷膜,彤臻,直面,卷膜,直面,-10
2201079,彤臻蝴蝶面卷膜,彤臻,蝴蝶面,卷膜,蝴蝶面,-6
2201080,彤臻面片卷膜,彤臻,面片,卷膜,面片,-4
2201082,彤臻250g面条、240g面片、蝴蝶面外箱,彤臻,直面&蝴蝶面&面片,外箱,直面&蝴蝶面&面片,-17
