货品编码,货品名称,品牌,性质类别,系列,口味,,差异
2001008,益生源封口贴,傲滋,封口贴,益生菌&复合饮料,益生菌&复合饮料,,-11517
2001234,156g宝清宁盒装外箱,傲滋,外箱,宝清宁,宝清宁（盒）,,-89
2001252,复合钙固体饮料彩盒,傲滋,彩盒,复合饮料,钙,,-1972
2001253,复合铁固体饮料彩盒,傲滋,彩盒,复合饮料,铁,,-763
2001254,复合锌固体饮料彩盒,傲滋,彩盒,复合饮料,锌,,-747
2001255,复合钙固体饮料卷膜,傲滋,卷膜,复合饮料,钙,,-19
2001256,复合铁固体饮料卷膜,傲滋,卷膜,复合饮料,铁,,-27
2001257,复合锌固体饮料卷膜,傲滋,卷膜,复合饮料,锌,,-47
2001258,复合钙铁锌固体饮料外箱,傲滋,外箱,复合饮料,复合饮料,,-40
2001274,2-12大物流码,0,物流码,宝清宁罐&益生元&益生菌大&蛋白质,宝清宁罐&益生元&益生菌大&蛋白质&牛初乳,,-570
2001275,2-12小物流码,0,物流码,宝清宁罐&益生元&益生菌大&蛋白质,宝清宁罐&益生元&益生菌大&蛋白质&牛初乳,,-3445
2001280,2-24大物流码,0,物流码,宝清宁&葡萄糖&益生菌,益生菌（小）&无水&宝清宁（盒）,,58
2001281,2-24小物流码,0,物流码,宝清宁&葡萄糖&益生菌,益生菌（小）&无水&宝清宁（盒）,,898
2001282,2-48大物流码,0,物流码,复合饮料,复合饮料,,-239
2001283,2-48小物流码,0,物流码,复合饮料,复合饮料,,-5818
2001397,原味宝清宁卷膜,傲滋,卷膜,宝清宁,原味,,-33
2001398,原味宝清宁彩盒,傲滋,彩盒,宝清宁,原味（盒）,,-565
2001428,草莓宝清宁彩盒,傲滋,彩盒,宝清宁,草莓,,-621
2001429,苹果宝清宁彩盒,傲滋,彩盒,宝清宁,苹果,,-1875
2001430,雪梨宝清宁彩盒,傲滋,彩盒,宝清宁,雪梨,,-551
2001431,草莓宝清宁卷膜,傲滋,卷膜,宝清宁,草莓,,-16
2001432,苹果宝清宁卷膜,傲滋,卷膜,宝清宁,苹果,,-25
2001433,雪梨宝清宁卷膜,傲滋,卷膜,宝清宁,雪梨,,-39
2001619,宝清宁内托,傲滋,内托,宝清宁,宝清宁（盒）,,-2001
2201001,彤臻封口贴,彤臻,封口贴,益生菌,益生菌,,-2350
2201002,彤臻益大卷膜,彤臻,卷膜,益生菌,益生菌,,-7
2201003,彤臻益大彩盒及内托,彤臻,内托,益生菌,益生菌,,-8
2201004,彤臻益大外箱,彤臻,外箱,益生菌,益生菌,,0
2201034,彤臻原味宝清宁卷膜,彤臻,卷膜,宝清宁,原味,,-3
2201035,彤臻苹果宝清宁卷膜,彤臻,卷膜,宝清宁,苹果,,-8
2201036,彤臻草莓宝清宁卷膜,彤臻,卷膜,宝清宁,草莓,,-2
2201037,彤臻雪梨宝清宁卷膜,彤臻,卷膜,宝清宁,雪梨,,-8
2201038,彤臻原味宝清宁罐,彤臻,铁罐,宝清宁,原味,,15
2201039,彤臻苹果宝清宁罐,彤臻,铁罐,宝清宁,苹果,,7
2201040,彤臻草莓宝清宁罐,彤臻,铁罐,宝清宁,草莓,,15
2201041,彤臻雪梨宝清宁罐,彤臻,铁罐,宝清宁,雪梨,,15
2201042,彤臻宝清宁罐装外箱,彤臻,外箱,宝清宁,宝清宁,,0
