货品编码,货品名称,货品规格,品牌,性质类别,产品分类,口味,差异
2001274,2-12大物流码,,0,物流码,DHA,DHA（大）,9 
2001275,2-12小物流码,,0,物流码,DHA,DHA（大）,-72 
2001280,2-24大物流码,,0,物流码,DHA,DHA（小）,-40 
2001281,2-24小物流码,,0,物流码,DHA,DHA（小）,0 
2001284,2-36大物流码,,0,物流码,乳钙,乳钙,0 
2001285,2-36小物流码,,0,物流码,乳钙,乳钙,0 
2001620,乳钙凝胶糖果（盒）,1.4克*45粒*36盒,傲滋,加工费,乳钙,乳钙,0 
2001621,乳钙凝胶糖果彩盒,,傲滋,彩盒,乳钙,乳钙,-2186 
2001625,DHA藻油凝胶糖果（盒）,0.75克*45粒*24盒,傲滋,加工费,DHA,DHA（小）,0 
2001626,DHA藻油凝胶糖果彩盒及内托,,傲滋,彩盒,DHA,DHA（小）,-667 
2001628,DHA藻油硬盒,,傲滋,彩盒,DHA,DHA（大）,-167 
2201011,彤臻乳钙凝胶彩盒,,彤臻,彩盒,乳钙,乳钙,-101 
2201017,彤臻DHA藻油凝胶糖果彩盒及内托,,彤臻,彩盒,DHA,DHA（小）,-48 
2201021,彤臻DHA藻油凝胶糖果礼盒,,彤臻,彩盒,DHA,DHA,-6 
