货品编码,货品名称,品牌,类别,口味,差异
2001011,有机蓝莓粉,0,原料,蓝莓,0
2001012,有机胡萝卜,0,原料,胡萝卜,0
2001013,有机苹果,0,原料,苹果,0
2001218,有机白砂糖,0,原料,溶豆,0
2001284,2-36大物流码,0,物流码,溶豆,-265
2001285,2-36小物流码,0,物流码,溶豆,-4968
2001296,有机全脂奶粉,0,原料,溶豆,0
2001700,有机溶豆-原味彩盒,傲滋,彩盒,原味,-588
2001701,有机溶豆-蓝莓味彩盒,傲滋,彩盒,蓝莓,-436
2001702,有机溶豆-胡萝卜味彩盒,傲滋,彩盒,胡萝卜,-592
2001703,有机溶豆-苹果味彩盒,傲滋,彩盒,苹果,-523
2001704,有机溶豆-原味卷膜,傲滋,卷膜,原味,-69
2001705,有机溶豆-蓝莓味卷膜,傲滋,卷膜,蓝莓,-84
2001706,有机溶豆-胡萝卜味卷膜,傲滋,卷膜,胡萝卜,-67
2001707,有机溶豆-苹果味卷膜,傲滋,卷膜,苹果,-49
2001708,有机溶豆外箱,傲滋,外箱,溶豆,-36
2001729,有机溶豆空白外箱-试用装,傲滋,外箱,溶豆,-54
2001731,溶豆原味试用装卷膜,傲滋,卷膜,原味,-10
2001732,溶豆蓝莓味试用装卷膜,傲滋,卷膜,蓝莓,-14
2001733,溶豆胡萝卜味试用装卷膜,傲滋,卷膜,胡萝卜,2
2001734,溶豆苹果味试用装卷膜,傲滋,卷膜,苹果,1
2201094,彤臻有机溶豆原味卷膜,彤臻,卷膜,原味,-50
2201095,彤臻有机溶豆蓝莓味卷膜,彤臻,卷膜,蓝莓,-2
2201096,彤臻有机溶豆胡萝卜卷膜,彤臻,卷膜,胡萝卜,-39
2201097,彤臻有机溶豆苹果味卷膜,彤臻,卷膜,苹果,10
2201098,彤臻有机溶豆原味彩盒,彤臻,彩盒,原味,0
2201099,彤臻有机溶豆蓝莓味彩盒,彤臻,彩盒,蓝莓,0
2201100,彤臻有机溶豆胡萝卜味彩盒,彤臻,彩盒,胡萝卜,0
2201101,彤臻有机溶豆苹果味彩盒,彤臻,彩盒,苹果,0
2201102,彤臻有机溶豆外箱,彤臻,外箱,溶豆,-4
2201103,彤臻溶豆原味试用装卷膜,彤臻,卷膜,原味,81
2201104,彤臻溶豆蓝莓试用装卷膜,彤臻,卷膜,蓝莓,-2
2201105,彤臻溶豆胡萝卜试用装卷膜,彤臻,卷膜,胡萝卜,36
2201106,彤臻溶豆苹果试用装卷膜,彤臻,卷膜,苹果,-2
