货品编码,货品名称,货品规格,单位,上期结存|数量,本期收入|数量,本期发出|数量,本期结存|数量
2001280,2-24大物流码,,个,2008.0059,0,0,2008.0059
2001281,2-24小物流码,,个,23873,0,0,23873
2001370,有机小麦粉,,KG,812.1368,0,0,812.1368
1012001,傲滋有机营养面原味225g,25g*9袋*24盒/箱,盒,168,0,0,168
1012003,傲滋有机营养面猪肝菠菜225g,25g*9袋*24盒/箱,盒,144,0,0,144
1012004,傲滋有机营养面牛肉番茄225g,25g*9袋*24盒/箱,盒,72,0,0,72
1012005,傲滋有机营养面鸡肉蘑菇225g,25g*9袋*24盒/箱,盒,96,0,0,96
1012002,傲滋有机营养面胡萝卜225g,25g*9袋*24盒/箱,盒,96,0,0,96
2001373,225g有面条/210g面片内托,,个,19232,0,0,19232
2001374,225g有机面内袋,,个,8680,0,0,8680
2001375,225g/210g有机面外箱,64.3*35*22.5,个,1513,0,0,1513
2001376,225g原味有机面彩盒,,个,6213,0,0,6213
2001378,225g猪肝菠菜有机面彩盒,,个,5370,0,0,5370
2001379,225g牛肉番茄有机面彩盒,,个,5346,0,0,5346
2001380,225g鸡肉蘑菇有机面彩盒,,个,4890,0,0,4890
2001377,225g胡萝卜有机面彩盒,,个,4764,0,0,4764
2001643,210g有机蝴蝶面外箱,64.3*41*22.5cm,个,416.8794,0,0,416.8794
2001642,210g有机蝴蝶面内托,,个,46722,0,0,46722
2001646,210g原味蝴蝶面彩盒,,个,4543,0,0,4543
2001647,210g胡萝卜蝴蝶面彩盒,,个,6017,0,0,6017
2001648,210g原味面片彩盒,,个,1100,0,0,1100
2001644,210g蝴蝶面卷膜,,KG,296.535,0,0,296.535
2001645,210g面片卷膜,,KG,221.968,0,0,221.968
1012006,傲滋有机营养蝴蝶面原味210g,30g*7袋*24盒/箱,盒,72,0,0,72
2001649,210g胡萝卜面片彩盒,,个,108,0,0,108
2001383,225g有机直面卷膜,,KG,119.6088,0,0,119.6088
2201069,彤臻250g有机原味面条彩盒,,个,630,0,0,630
2201070,彤臻250g有机胡萝卜面条彩盒,,个,206,0,0,206
2201071,彤臻250g有机猪肝菠菜面彩盒,,个,192,0,0,192
2201072,彤臻250g有机牛肉番茄面彩盒,,个,453,0,0,453
2201073,彤臻250g有机鸡肉蘑菇面彩盒,,个,425,0,0,425
2201074,彤臻240g有机原味蝴蝶面彩盒,,,1227,0,0,1227
2201075,彤臻240g有机胡萝卜蝴蝶面彩盒,,个,1401,0,0,1401
2201076,彤臻240g有机原味面片彩盒,,个,1958,0,0,1958
2201077,彤臻240g有机胡萝卜面片彩盒,,个,1823,0,0,1823
2201078,彤臻直面卷膜,,KG,138.3568,0,0,138.3568
2201079,彤臻蝴蝶面卷膜,,KG,240.3728,0,0,240.3728
2201080,彤臻面片卷膜,,KG,239.0784,0,0,239.0784
2201082,彤臻250g面条、240g面片、蝴蝶面外箱,,个,132.5376,0,0,132.5376
